customer_id,name,email,phone,region_id
1,Alice Miller,alicemiller46@gmail.com,9642738533.0,4.0
2,Mike Jones,mikejones64@yahoo.com,9806232455.0,6.0
3,DAVID Jones,davidjones51@hotmail.com,8127836018.0,2.0
4,Sara Clark,saraclark65@outlook.com,6838620767.0,3.0
5,Sara Smith,sarasmith78@yahoo.com,7482239237.0,6.0
6,John Brown,johnbrown44@outlook.com,7928048693.0,3.0
7,Mike Clark,mikeclark26@gmail.com,9851197231.0,2.0
8,Alice Williams,alicewilliams89@outlook.com,7766751894.0,3.0
9,John Johnson,johnjohnson76@yahoo.com,9706244764.0,5.0
10, Chris Miller,chrismiller31@outlook.com,6233729593.0,3.0
11,  emma   Smith,emmasmith56@yahoo.com,7860778024.0,2.0
12,  emma   Clark,emmaclark50@yahoo.com,9020409982.0,10.0
13,linda Williams,lindawilliams36@hotmail.com,9754636681.0,3.0
14,linda Smith,lindasmith17@yahoo.com,6686045181.0,10.0
15,Sara taylor  ,sarataylor14@gmail.com,6205847600.0,9.0
16, Chris  Davis,chrisdavis81@yahoo.com,7650196789.0,6.0
17,linda Miller,lindamiller97@outlook.com,9145011083.0,5.0
18,Alice Clark,aliceclark43@yahoo.com,6086376821.0,9.0
19,linda Smith,lindasmith65@yahoo.com,6400660646.0,4.0
20,  emma   Brown,emmabrown25@gmail.com,6165027241.0,9.0
21,Jane taylor  ,janetaylor45@yahoo.com,7888490433.0,8.0
22,Sara Clark,saraclark57@hotmail.com,9937868143.0,7.0
23, Chris taylor  ,,6162504710.0,5.0
24,Sara Jones,sarajones56@hotmail.com,6137232180.0,6.0
25, Chris  Davis,chrisdavis80@outlook.com,,8.0
26,Mike Brown,mikebrown81@yahoo.com,8588660169.0,3.0
27,linda Smith,lindasmith8@yahoo.com,9669135223.0,6.0
28,DAVID Williams,davidwilliams75@yahoo.com,7197694859.0,
29,Sara Jones,sarajones94@gmail.com,6021524556.0,
30,Jane Miller,janemiller77@yahoo.com,9560178305.0,2.0
31,  emma   Williams,emmawilliams91@outlook.com,6528143428.0,7.0
32,Mike Smith,mikesmith48@outlook.com,9540462087.0,2.0
33,Sara  Davis,saradavis85@hotmail.com,6423889331.0,7.0
34,  emma    Davis,emmadavis11@outlook.com,9562322065.0,6.0
35,linda Johnson,lindajohnson53@yahoo.com,7078933282.0,
36,linda  Davis,lindadavis28@outlook.com,7738578075.0,3.0
37,Alice  Davis,alicedavis22@outlook.com,,5.0
38,DAVID Smith,davidsmith94@outlook.com,,6.0
39,Alice Miller,alicemiller92@gmail.com,8758635446.0,1.0
40, Chris Brown,chrisbrown33@hotmail.com,6330408900.0,8.0
41,Mike Jones,mikejones34@gmail.com,9701600595.0,7.0
42,Mike Williams,mikewilliams14@gmail.com,8608079946.0,10.0
43,Sara   lee,saralee65@outlook.com,9744599506.0,9.0
44,linda Brown,lindabrown25@yahoo.com,6099729920.0,8.0
45,Alice Miller,alicemiller66@gmail.com,7234313957.0,6.0
46,Jane Smith,janesmith5@outlook.com,9367210570.0,
47,Bob Jones,bobjones14@hotmail.com,9085429783.0,2.0
48,John Williams,johnwilliams68@yahoo.com,,8.0
49,  emma   Smith,emmasmith68@hotmail.com,7109073626.0,3.0
50,DAVID Jones,davidjones5@gmail.com,9844435235.0,7.0
51,Alice taylor  ,alicetaylor34@outlook.com,7768759803.0,5.0
52,linda Miller,lindamiller63@gmail.com,8329719822.0,2.0
53,Sara Williams,sarawilliams11@outlook.com,9877758738.0,6.0
54,Bob Williams,bobwilliams89@gmail.com,6697293140.0,7.0
55,Sara   lee,saralee69@outlook.com,8853720233.0,1.0
56,John Johnson,johnjohnson42@outlook.com,,
57,Alice Williams,alicewilliams27@hotmail.com,8306691701.0,6.0
58,Bob Brown,bobbrown85@hotmail.com,,6.0
59,Alice Smith,alicesmith19@yahoo.com,,6.0
60,Sara Clark,saraclark80@hotmail.com,8461591327.0,3.0
61, Chris Johnson,chrisjohnson49@outlook.com,6013247115.0,6.0
62,Sara  Davis,saradavis66@outlook.com,6077689312.0,9.0
63,Mike Johnson,mikejohnson36@hotmail.com,,8.0
64,DAVID Smith,davidsmith83@yahoo.com,7052381354.0,2.0
65,Sara Williams,sarawilliams72@yahoo.com,8515671024.0,2.0
66,DAVID   lee,davidlee34@yahoo.com,8188276592.0,3.0
67,Mike Williams,mikewilliams53@hotmail.com,7190390873.0,4.0
68,Sara   lee,saralee95@yahoo.com,6751350021.0,1.0
69,DAVID Clark,davidclark46@gmail.com,9402388236.0,5.0
70,Sara Williams,sarawilliams20@gmail.com,7164376029.0,4.0
71,Jane  Davis,janedavis97@hotmail.com,7191961381.0,6.0
72,Bob taylor  ,bobtaylor30@outlook.com,8920416439.0,9.0
