customer_id,name,email,phone,region_id
1,Alice Miller,alicemiller46@gmail.com,9642738533,4
2,Mike Jones,mikejones64@yahoo.com,9806232455,6
3,DAVID Jones,davidjones51@hotmail.com,8127836018,2
4,Sara Clark,saraclark65@outlook.com,6838620767,3
5,Sara Smith,sarasmith78@yahoo.com,7482239237,6
6,John Brown,johnbrown44@outlook.com,7928048693,3
7,Mike Clark,mikeclark26@gmail.com,9851197231,2
8,Alice Williams,alicewilliams89@outlook.com,7766751894,3
9,John Johnson,johnjohnson76@yahoo.com,9706244764,5
10, Chris Miller,chrismiller31@outlook.com,6233729593,3
11,  emma   Smith,emmasmith56@yahoo.com,7860778024,2
12,  emma   Clark,emmaclark50@yahoo.com,9020409982,10
13,linda Williams,lindawilliams36@hotmail.com,9754636681,3
14,linda Smith,lindasmith17@yahoo.com,6686045181,10
15,Sara taylor  ,sarataylor14@gmail.com,6205847600,9
16, Chris  Davis,chrisdavis81@yahoo.com,7650196789,6
17,linda Miller,lindamiller97@outlook.com,9145011083,5
18,Alice Clark,aliceclark43@yahoo.com,6086376821,9
19,linda Smith,lindasmith65@yahoo.com,6400660646,4
20,  emma   Brown,emmabrown25@gmail.com,6165027241,9
21,Jane taylor  ,janetaylor45@yahoo.com,7888490433,8
22,Sara Clark,saraclark57@hotmail.com,9937868143,7
23, Chris taylor  ,chris123@gmail.com,6162504710,5
24,Sara Jones,sarajones56@hotmail.com,6137232180,6
25, Chris  Davis,chrisdavis80@outlook.com,,8
26,Mike Brown,mikebrown81@yahoo.com,8588660169,3
27,linda Smith,lindasmith8@yahoo.com,9669135223,6
28,DAVID Williams,davidwilliams75@yahoo.com,7197694859,
29,Sara Jones,sarajones94@gmail.com,6021524556,
30,Jane Miller,janemiller77@yahoo.com,9560178305,2
31,  emma   Williams,emmawilliams91@outlook.com,6528143428,7
32,Mike Smith,mikesmith48@outlook.com,9540462087,2
33,Sara  Davis,saradavis85@hotmail.com,6423889331,7
34,  emma    Davis,emmadavis11@outlook.com,9562322065,6
35,linda Johnson,lindajohnson53@yahoo.com,7078933282,
36,linda  Davis,lindadavis28@outlook.com,7738578075,3
37,Alice  Davis,alicedavis22@outlook.com,,5
38,DAVID Smith,davidsmith94@outlook.com,,6
39,Alice Miller,alicemiller92@gmail.com,8758635446,1
40, Chris Brown,chrisbrown33@hotmail.com,6330408900,8
41,Mike Jones,mikejones34@gmail.com,9701600595,7
42,Mike Williams,mikewilliams14@gmail.com,8608079946,10
43,Sara   lee,saralee65@outlook.com,9744599506,9
44,linda Brown,lindabrown25@yahoo.com,6099729920,8
45,Alice Miller,alicemiller66@gmail.com,7234313957,6
46,Jane Smith,janesmith5@outlook.com,9367210570,
47,Bob Jones,bobjones14@hotmail.com,9085429783,2
48,John Williams,johnwilliams68@yahoo.com,,8
49,  emma   Smith,emmasmith68@hotmail.com,7109073626,3
50,DAVID Jones,davidjones5@gmail.com,9844435235,7
51,Alice taylor  ,alicetaylor34@outlook.com,7768759803,5
52,linda Miller,lindamiller63@gmail.com,8329719822,2
53,Sara Williams,sarawilliams11@outlook.com,9877758738,6
54,Bob Williams,bobwilliams89@gmail.com,6697293140,7
55,Sara   lee,saralee69@outlook.com,8853720233,1
56,John Johnson,johnjohnson42@outlook.com,,
